[WARNING | 2017-12-23 12:13:19,393] Not Connected:localhost:9000
[WARNING | 2017-12-23 14:24:53,880] Not Connected:localhost:9001
[WARNING | 2017-12-23 14:24:53,883] Not Connected:localhost:9002
[WARNING | 2017-12-23 14:24:57,254] Not Connected:localhost:9002
[WARNING | 2017-12-23 15:04:32,937] Not Connected:localhost:9001
[WARNING | 2017-12-23 15:04:32,941] Not Connected:localhost:9002
[WARNING | 2017-12-23 15:04:35,200] Not Connected:localhost:9002
[WARNING | 2017-12-23 15:05:29,860] 发生节点迁移：192.168.56.1 46079->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 15:15:43,408] 发生节点迁移：192.168.56.1 46162->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 15:16:15,684] 发生节点迁移：192.168.56.1 46165->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 15:16:27,463] 发生节点迁移：192.168.56.1 46168->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 15:17:19,994] 发生节点迁移：192.168.56.1 46179->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 15:35:50,942] Not Connected:localhost:9001
[WARNING | 2017-12-23 15:35:50,946] Not Connected:localhost:9002
[WARNING | 2017-12-23 15:35:52,751] Not Connected:localhost:9002
[WARNING | 2017-12-23 15:43:31,364] 发生节点迁移：192.168.56.1 46373->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 15:45:24,792] Not Connected:localhost:9001
[WARNING | 2017-12-23 15:45:24,793] Not Connected:localhost:9002
[WARNING | 2017-12-23 15:45:26,142] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:05:12,892] Not Connected:localhost:9001
[WARNING | 2017-12-23 16:05:12,893] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:05:15,766] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:06:35,861] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:07:20,103] 发生节点迁移：192.168.56.1 46571->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 16:20:56,756] Not Connected:localhost:9001
[WARNING | 2017-12-23 16:20:56,757] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:20:58,292] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:21:15,898] 找不到client serfd=18
[WARNING | 2017-12-23 16:53:08,535] Not Connected:localhost:9001
[WARNING | 2017-12-23 16:53:08,537] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:53:10,733] Not Connected:localhost:9002
[WARNING | 2017-12-23 16:58:56,651] 发生节点迁移：192.168.56.156 33556->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 17:19:27,566] Not Connected:localhost:9000
[WARNING | 2017-12-23 17:19:27,569] Not Connected:localhost:9002
[WARNING | 2017-12-23 17:19:30,401] Not Connected:localhost:9002
[WARNING | 2017-12-23 17:35:14,039] Not Connected:localhost:9001
[WARNING | 2017-12-23 17:35:14,040] Not Connected:localhost:9002
[WARNING | 2017-12-23 17:42:38,805] Not Connected:localhost:9002
[WARNING | 2017-12-23 17:58:16,117] Not Connected:localhost:9001
[WARNING | 2017-12-23 17:58:16,118] Not Connected:localhost:9002
[WARNING | 2017-12-23 17:58:18,238] Not Connected:localhost:9002
[WARNING | 2017-12-23 17:58:42,287] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:27:00,100] Not Connected:localhost:9001
[WARNING | 2017-12-23 18:27:00,101] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:27:01,323] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:29:22,344] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:29:33,277] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:49:40,717] Not Connected:localhost:9001
[WARNING | 2017-12-23 18:49:40,719] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:49:43,176] Not Connected:localhost:9002
[WARNING | 2017-12-23 18:50:01,130] Not Connected:localhost:9002
[WARNING | 2017-12-23 19:00:10,965] 发生节点迁移：192.168.56.156 56614->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 19:05:01,373] 发生节点迁移：192.168.56.1 48161->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 20:01:02,782] Not Connected:localhost:9001
[WARNING | 2017-12-23 20:01:02,790] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:01:05,016] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:01:41,257] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:23:22,714] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:33:20,942] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:35:33,299] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:39:24,118] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:39:57,835] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:40:38,288] Not Connected:localhost:9001
[WARNING | 2017-12-23 20:40:38,294] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:40:41,212] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:45:12,119] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:45:12,129] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:14,136] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:16,139] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:18,143] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:20,146] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:22,150] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:24,156] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:26,158] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:28,161] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:30,164] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:32,167] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:34,171] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:36,174] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:38,176] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:40,179] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:42,182] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:44,185] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:46,188] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:48,191] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:50,193] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:52,197] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:54,200] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:56,203] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:45:58,033] WriteHttpResponse open  error
[WARNING | 2017-12-23 20:46:46,629] Not Connected:localhost:9002
[WARNING | 2017-12-23 20:46:59,074] WriteHttpResponse open html/nginx.html error
[WARNING | 2017-12-23 20:56:32,465] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:00:01,259] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:11:13,525] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:17:02,546] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:21:56,417] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:26:45,991] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:30:42,976] Not Connected:localhost:9001
[WARNING | 2017-12-23 21:30:42,987] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:30:44,585] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:32:25,303] 发生节点迁移：192.168.56.1 35313->192.168.56.1 35311 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:32:25,320] 发生节点迁移：192.168.56.1 35314->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:32:47,599] 发生节点迁移：192.168.56.1 35315->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:32:48,522] 发生节点迁移：192.168.56.1 35317->192.168.56.1 35315 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:32:48,567] 发生节点迁移：192.168.56.1 35318->192.168.56.1 35315 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:38:17,874] Not Connected:localhost:9001
[WARNING | 2017-12-23 21:38:17,876] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:38:19,462] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:41:58,176] Not Connected:localhost:9002
[WARNING | 2017-12-23 21:43:41,674] 发生节点迁移：192.168.56.1 35448->192.168.56.1 35446 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:43:54,545] 发生节点迁移：192.168.56.1 35451->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 21:43:55,273] 发生节点迁移：192.168.56.1 35453->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 21:43:55,329] 发生节点迁移：192.168.56.1 35454->192.168.56.1 35451 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 21:45:16,629] 发生节点迁移：192.168.56.1 35479->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:45:17,668] 发生节点迁移：192.168.56.1 35485->192.168.56.1 35479 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 21:45:17,678] 发生节点迁移：192.168.56.1 35486->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 21:46:21,025] 发生节点迁移：192.168.56.1 35572->192.168.56.1 35479 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:46:26,477] 发生节点迁移：192.168.56.1 35582->192.168.56.1 35584 change to ->139.199.26.222 11001
[WARNING | 2017-12-23 21:46:26,491] 发生节点迁移：192.168.56.1 35583->192.168.56.1 35584 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:46:34,740] 发生节点迁移：192.168.56.1 35599->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-23 21:46:55,735] 发生节点迁移：192.168.56.1 35630->192.168.56.1 35583 change to ->139.199.26.222 11002
